"","meteo_stat_id","longitude","latitude"
"1","50442",124.1167,50.4
"2","50468",127.45,50.25
"3","50525",119.75,49.15
"4","50527",119.75,49.2167
"5","50639",122.7333,48
"6","50646",124.85,48.4833
"7","50739",123.1667,47.35
"8","50741",123.5,47.9333
"9","50745",123.9333,47.3333
"10","50755",126.1,47.6
"11","50778",132.5,47.65
"12","50833",122.9,46.7167
"13","50844",123.4167,46.4
"14","50851",126.1,46.6833
"15","50853",126.9667,46.6167
"16","50854",125.35,46.4
"17","50862",128.05,46.9833
"18","50873",130.2833,46.8167
"19","50884",131.15,46.6333
"20","50888",132.1833,46.3167
"21","50924",119.6667,45.5333
"22","50934",121.5667,45.3833
"23","50936",122.8333,45.6333
"24","50937",121.4667,45.05
"25","50939",122.8167,45.3333
"26","50940",123.2167,45.8333
"27","50945",124.2667,45.5
"28","50948",124.0167,45
"29","50950",125.25,45.7
"30","50953",126.7667,45.75
"31","50968",127.9667,45.2167
"32","50971",131.0167,45.7667
"33","50973",130.55,45.75
"34","50978",130.95,45.2833
"35","50983",132.9333,45.7667
"36","50985",131.8667,45.55
"37","51068",87.5,47.1167
"38","51133",83,46.7333
"39","51238",82.0667,44.9
"40","51359",86.2167,44.3
"41","51463",87.4667,43.9
"42","51567",86.6,42.05
"43","51573",89.2333,42.9667
"44","51629",80.2333,41.2667
"45","51633",81.8833,41.8
"46","51639",82.7833,41.2333
"47","51707",76.75,39.4833
"48","51708",75.95,39.15
"49","51722",80.3833,40.6333
"50","51802",76.1667,38.9333
"51","51811",77.2667,38.4333
"52","51814",77.4167,37.8833
"53","51815",77.2667,38.2
"54","51826",80.8,37.0167
"55","51829",80.1667,37.0833
"56","51855",85.5333,38.1333
"57","52203",93.45,42.8333
"58","52436",97.0333,40.2667
"59","52533",98.4833,39.7667
"60","52656",100.8167,38.45
"61","52875",102.1,36.5
"62","52895",104.6833,36.5667
"63","52983",104.15,35.8667
"64","52995",104.6167,35.5833
"65","53362",111.7,41.5333
"66","53397",113.9667,41.0833
"67","53491",114.4167,40.6667
"68","53553",110.8667,39.6667
"69","53596",115.1333,38.8333
"70","53610",106.3333,38.5667
"71","53619",106.3333,38.1
"72","53677",112.4833,37.9333
"73","53679",112.55,37.7333
"74","53680",114.3667,38.3
"75","53689",115.05,38.0167
"76","53691",114.55,38.15
"77","53695",114.6833,38.35
"78","53696",114.9833,38.5167
"79","53697",114.65,38.0333
"80","53698",114.4333,38.0667
"81","53768",111.75,37.15
"82","53771",112.05,37.45
"83","53772",112.6,37.8
"84","53774",112.3667,37.6
"85","53776",112.7667,37.6833
"86","53780",113.1667,37.8833
"87","53782",113.55,37.85
"88","53787",112.9833,37.0667
"89","53789",114.65,37.8667
"90","53794",114.7667,37.35
"91","53796",114.9167,37.6333
"92","53798",114.5,37.0667
"93","53863",111.9,37.0333
"94","53869",111.75,36.5667
"95","53871",112.85,36.8333
"96","53880",113.2167,36.3333
"97","53884",113.0333,36.5167
"98","53885",113.2167,36.1333
"99","53889",113.8167,36.0667
"100","53891",114.6833,37
"101","53895",114.5,36.7667
"102","53896",114.95,36.35
"103","53898",114.3667,36.1167
"104","53961",111.4833,35.65
"105","53963",111.3667,35.65
"106","53964",111.2167,35.6167
"107","53970",112.1833,35.6833
"108","53974",114.1833,35.6167
"109","53975",112.4,35.4833
"110","53976",112.8333,35.4667
"111","53980",114.8,36.55
"112","53981",113.2667,35.7667
"113","53982",113.2667,35.2333
"114","53983",114.4333,35.05
"115","53984",113.4167,35.2333
"116","53985",113.8167,35.4333
"117","53986",113.8833,35.3167
"118","53990",114.1667,35.9
"119","53991",114.35,35.9333
"120","53993",114.9167,35.9333
"121","53994",114.0667,35.3833
"122","53997",114.1833,35.15
"123","53998",114.6667,35.2167
"124","54064",125.1667,44.4167
"125","54065",125.6667,44.5333
"126","54072",126.5167,44.8167
"127","54076",126.9333,44.4167
"128","54092",129.4,44.5833
"129","54096",131.15,44.3833
"130","54098",129.4667,44.3333
"131","54113",118.65,43.5333
"132","54115",118.0667,43.6
"133","54122",120.0833,43.8833
"134","54135",122.2667,43.6
"135","54156",124.8,43.5167
"136","54157",124.3333,43.1833
"137","54161",125.2167,43.9
"138","54164",125.2833,43.35
"139","54165",125.6333,43.5167
"140","54172",126.4667,43.95
"141","54186",128.2,43.3667
"142","54187",128.9167,43.1167
"143","54223",120.65,42.85
"144","54290",129.4,42.7667
"145","54292",129.4667,42.8833
"146","54311",117.75,41.9333
"147","54313",118.7,41.9333
"148","54318",117.7167,41.3167
"149","54398",116.65,40.15
"150","54406",115.95,40.45
"151","54416",116.8333,40.3833
"152","54419",116.6167,40.3
"153","54424",117.1,40.1333
"154","54428",117.4167,40.05
"155","54429",117.95,40.2
"156","54430",118.1667,40.7667
"157","54431",116.6667,39.9167
"158","54432",118.4833,40.6
"159","54434",118.3,40.15
"160","54437",118.6667,39.5
"161","54438",118.9,39.8833
"162","54499",116.2167,40.2167
"163","54502",115.9667,39.5
"164","54503",115.85,39.05
"165","54506",115.85,39.3333
"166","54510",116.9833,39.8833
"167","54512",116.3,39.4167
"168","54515",116.7,39.4667
"169","54517",117.0833,39.0833
"170","54520",117.0667,40
"171","54521",117,39.7667
"172","54522",117.7333,39.8833
"173","54526",117.4167,39.0667
"174","54527",117.1667,39.1
"175","54529",117.8167,39.35
"176","54530",117.7833,39.25
"177","54532",118.1167,39.8333
"178","54533",118.1167,39.55
"179","54535",118.45,39.2833
"180","54541",119.2167,39.8833
"181","54565",121.4667,39.6
"182","54596",116.15,39.7333
"183","54601",115.6333,39.0333
"184","54603",115.7833,38.6833
"185","54604",115.3167,38.4167
"186","54610",116.1167,38.7167
"187","54611",115.3167,38.95
"188","54612",116.4667,38.8667
"189","54614",116.1,38.4333
"190","54615",116.85,38.5833
"191","54617",116.1167,38.1833
"192","54618",116.55,38.0667
"193","54619",116.9167,38.9167
"194","54620",115,38.5
"195","54624",117.35,38.3667
"196","54632",115.0333,37.0667
"197","54636",116.1,38.9833
"198","54702",115.7,37.7333
"199","54705",115.3833,37.3667
"200","54713",116.5333,37.9
"201","54714",116.3167,37.4333
"202","54715",116.5667,37.3333
"203","54716",116.8,37.65
"204","54727",117.5,36.7333
"205","54732",118.5333,37.8833
"206","54734",118.0167,37.3833
"207","54737",118.1333,37.15
"208","54749",119.9333,37.1833
"209","54753",120.3167,37.6167
"210","54764",121.25,37.5
"211","54766",121.65,37.4167
"212","54774",122.1333,37.5167
"213","54803",115.9833,36.95
"214","54804",115.1333,36.2833
"215","54807",115.8,36.1
"216","54810",116.2333,36.85
"217","54811",116.6333,36.9333
"218","54815",116.2333,36.3333
"219","54818",116.4333,36.2667
